id,vE,vH,aA,aS,t0,w,lapse,sw,sv,max_log_lik
1,1.383852269172951,0.8895358846440904,2.2302292440011513,1.0277550161706832,0.25887895972477554,0.5213475005680256,0.019056444216292913,8.733440241814697e-08,2.05446548376566e-06,-1134.8601268465734
2,2.923303760808017,1.7166183026988597,1.4796271227371265,1.0899870591794791,0.36606157841697073,0.5272803590793363,0.004360756053262507,0.20944744177439095,0.47962256822897276,1020.822852525909
3,1.511236891644022,0.9381725996533335,1.8756278089777274,0.8311983223605875,0.20653782823023983,0.48968618990906876,0.031683194529446755,0.09674644988430375,1.2448649194830782e-06,-611.8019941829981
4,2.532921376354704,1.682166063990534,1.5503257983943768,1.2025118522342289,0.2937169687330657,0.5382678093818328,0.019083541448940325,0.3379051999257414,4.901798584265444e-09,323.7899676201873
5,1.9417306260677545,1.1390569933120154,1.6835655974520574,1.20377425886516,0.22481335619130022,0.4609127597159005,0.0005390184438628681,0.19268775648241565,1.5782042275130338e-06,-207.5615723424773
6,2.0981097038779293,1.168662924837972,1.3081546571954483,0.9522629336133545,0.31046590683468733,0.5008195112020344,0.024228502109586592,0.1722336861923339,3.830528212909885e-06,326.70953887890954
7,2.4842301607947155,1.501464887925926,2.2980698715924204,1.369329523333704,0.26340477234105564,0.5548159379928754,0.018245256241125468,0.31464010105520196,6.562609523492544e-07,-367.05963588444405
8,1.4946003347362162,0.958003651610807,1.28850698555047,1.026649388110688,0.2446837099093713,0.5047918745571861,0.013049950421857878,0.2217728228630496,9.6882183149807e-07,-240.83742452541458
9,2.5932873025977665,1.5413972051603513,1.3642666278435955,1.0483419450233087,0.29683320390997,0.5535460054123219,0.029796981665262547,0.28924925773379345,9.634718068563906e-08,525.2288282428018
10,2.770699874629409,1.629849400587661,1.809856663013007,1.0535803951083766,0.345675195463772,0.5045047801086063,0.025199163513826537,0.05970617659795974,0.6745143613048974,419.2859072196452
11,1.4370879980767903,0.6170216011936215,1.863450785039519,0.9540329328831054,0.3922843700552866,0.5417644230922901,0.04007363600840975,4.1397017807090016e-07,0.6049266200257297,-1141.9011876007924
12,2.9203803139979034,1.8201731507575545,2.3670993383208607,1.1234325851111957,0.39332940642593384,0.5109279089890159,0.02372575309516533,1.4040775006506119e-06,9.339237328529208e-08,491.99778297309354
13,3.2860945392544045,1.9075810995190268,1.6170094415397376,1.0322670775741716,0.31166460067339824,0.5299769336592132,0.01864161042037468,0.23099218961714318,0.2457165329134533,1135.97360713214
14,2.347272680667157,1.3954844282592003,1.6747699012464619,1.144491900335072,0.30653094627420685,0.4969210721790993,0.03293236221210798,0.20334886030851662,0.2383056957664108,-178.3551878866618
15,3.1726422872519913,2.0973120780297183,2.1424364358997563,1.1230399073572943,0.2757187636564966,0.514907077074434,0.012221279170640307,0.21789697203875347,1.3167066429650308e-06,1022.293452814882
16,2.2331672886152654,1.5953946471807712,1.7851590735946594,1.035248460522698,0.29449564387524535,0.5171907628961224,0.0323547241573002,0.24844285074228334,0.5073937665823945,-59.58007113123374
17,3.0646998340863187,1.7536121822082475,1.5077294875003702,1.1389024461771489,0.3362452172529136,0.5222449194700572,0.014603968844412894,0.20615988197433766,4.6773681513611456e-07,942.063664538187
18,3.97423983593003,2.2664655718342197,1.776015315741236,1.2942755544694207,0.29659228758181816,0.5263448314919922,0.018710666358528253,0.288107073199146,1.064626058929142,987.959478002478
19,1.2377048953353804,0.5840495658888101,1.4586270193410547,1.0555317371525876,0.2564396832709675,0.49520703326383386,0.013793029281224991,5.590433879620907e-06,1.5561370398562948e-06,-826.068323231769
20,3.4201307110359647,2.332032541009336,2.168068274984647,1.172027187595908,0.24517878440115606,0.49051078091591876,0.004184221358945484,0.27654564994943914,7.184988949881429e-07,1294.2503449689889
