id,vE,vH,aA,aS,t0,w,weight_w,weight_v,l,sb,d,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,k,max_log_lik,aic
1,1.3755450037049564,0.8865777053939674,2.2355762361670353,1.0289652002086742,0.2587000806793229,0.5146262831082516,6.176405465977093e-05,4.684027922427487,0.018751049268493275,447.10577895639193,0.9331029227577992,0.5070033146123473,0.48599059526036864,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2,-1123.9532165924288,2273.9064331848576
2,2.8919430801510035,1.6423845099654322,1.475042724225204,1.1039992094102402,0.3672948160123634,0.5296593500980874,3.5118532810259286,2.7644780190597285,0.005821837324887837,1999.9998595338952,0.9000116058794824,0.41704902500364327,0.5260042203572213,0.5092425460918406,0.5321513726826379,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3,1146.5710962427281,-2263.1421924854562
3,1.5298783610148359,0.9872275181038607,1.9085966447621452,0.8702023185541528,0.20790949912842904,0.5070510255495431,1.8205920708449297,3.0146752026368895,0.03084775531243386,52.52710907256309,0.9604048246272703,0.3302836107429073,0.4799409093794895,0.6037008982248087,0.4669442788528163,0.5064561171234507,0.2991735481890082,0.5812083985569878,0.5547447085764613,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4,-417.0763624475004,872.1527248950008
4,2.387204332151136,1.5948172354172943,1.5903376604792834,1.2194418768630466,0.28234268322491635,0.5368086096068304,13.518776684144198,1.5971571179346762,0.01647375557048503,1999.4095408833482,0.9781913470205061,0.4916269372418913,0.506418128824843,0.4974534813118643,0.5000407634296431,0.5097475945070449,0.46637382753697393,0.4957890395276858,0.5155728163179262,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4,380.1403655910245,-722.280731182049
5,2.112949697491199,1.220964696462049,1.725234149661782,1.3747812635053798,0.23669712646333274,0.503062746063136,2.701768120337929,1.4888747022017297,0.0005412528793029125,16.20715944597823,0.9638559325716404,2.0145566204016972e-08,0.666873486096461,0.5430062896817421,0.6246990769542243,0.3932456037053882,0.4745651753770811,0.4797248498490725,0.5984972382130239,0.4077285680759083,0.4772728619448451,0.5993201961724945,0.5215912915105292,0.4299715902139857,0.5135198454592151,0.4517611517818409,0.5317953631279893,5,272.5055678902908,-491.01113578058164
6,2.1604298732171094,1.1847822438132543,1.3367522631090778,0.9691432028259166,0.31007461576670464,0.49339991143304635,0.5402878027086699,0.7233866409999268,0.024173936457664014,1234.3042376737974,0.9000000317411991,2.855133042068966e-08,0.5040560014974313,0.3429270226988789,0.8145526752028632,0.33595545529839377,0.26133915919776896,0.4689413256570564,0.8131707980348434,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4,425.11895645180607,-812.2379129036121
7,2.3872775719847525,1.463145711115792,2.274553769787247,1.3794010319966863,0.259218265274468,0.5506391699085691,1.17629508334074,1.0011497592299327e-07,0.01667156368416086,153.16701814984413,0.953230779061131,0.0719469505191043,0.2518042814832809,0.9978561084328132,0.49228848321874485,0.49841069060103294,1.2487736042140132e-06,0.7938857889102702,0.473865549820918,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4,-263.9491390891244,565.8982781782488
8,1.469723171300907,0.9432105865067659,1.3058914846785612,1.0261603516829827,0.24343116667318415,0.50190926783453,5.072987375930106,2.0047582183636985,0.013606719454928425,579.5329944486073,0.9781220014831445,0.47091795987447704,0.5006820494158446,0.5209177341967289,0.49377975596517654,0.5311505724562031,0.42710807325160804,0.5088915760002215,0.5196211279099838,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4,-189.9954340759474,417.9908681518948
9,2.5106295904235885,1.4883920181102164,1.3794448177156127,1.0459241756376645,0.2945594652291991,0.5477569791981013,3.474523679018276,2.2385125864258435,0.030103645200564355,304.38077237649475,0.9340098895931866,0.42429698451857056,0.4965571836104061,0.5733244083806706,0.491232650090621,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3,593.3898751102229,-1156.7797502204457
10,2.6498278066520946,1.5065144820314538,1.736491199996983,1.0428819631886284,0.34625327335769873,0.5155910015118398,1.0277396094332274,2.130326212978984,0.02653786043848984,34.07039398485834,0.973598057729056,0.16572387083738424,0.554430776770853,0.5980612137708946,0.46497745744210534,0.5245994375470195,0.20833285961770365,0.7440749938044721,0.27129106673745096,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4,469.2836389728061,-900.5672779456122
