id,vE,vH,aA,aS,t0,w,weight_w,weight_v,lapse,bias_strength,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,k,max_log_lik,aic
1,1.376291867580704,0.8942866148036617,2.2388381382441844,1.0302349290457198,0.25877515439771726,0.5205546071660624,0.00011611024082594129,0.521643321051961,0.018944572135474406,0.01532417707351141,0.3017517358743355,0.6209906662192113,0.23133408561050173,0.6335408737799687,0.3982867397256065,0.11186359439921262,0.9994962049093508,0.7640631064388271,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4,-1119.421153550078,2274.842307100156
2,2.893049647689573,1.643969747363335,1.4758081551063922,1.1043490143023775,0.36722385223908544,0.5285554329881695,0.7340656967713416,0.5991102943971955,0.005840259739670398,0.7365894936443207,0.11293173807306303,0.6198143611001661,0.5276337027158202,0.650990539661927,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3,1146.792623547337,-2265.585247094674
3,1.5338155827489517,0.9819293877319406,1.9054851037750593,0.8682250833511614,0.20818695061271364,0.4985838828121031,0.7340265710896071,1.0012795147095637,0.030835622104903284,0.0008861522240974564,0.0006228861905778567,0.36172033099249984,0.6266320142329422,0.5415634949602806,0.5608497623524752,0.20340851960642156,0.5201489747308772,0.4875700853868571,0.27076757634065624,0.289197747381519,0.9272658170196288,0.5053262457731452,0.5389476702451252,0.330741464317853,0.533675172854694,0.7520526773642858,5,-428.3475501791541,908.6951003583082
4,2.4183221218002657,1.6040736516061747,1.5507531660219502,1.1894527598423907,0.2907812053737689,0.5366703825969561,1.0049086642142488,0.10748776290876594,0.02051755887682291,6.329198256835562e-05,0.29982857665270635,0.5803117452192178,0.474246714016601,0.5157854813512062,0.6301236158012696,0.0002654641438977599,0.43081551439749666,0.7760533003188473,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4,379.8768818741148,-723.7537637482296
5,2.0609318745236953,1.1865368054794376,1.7341733099356977,1.3465764676296483,0.23140813242261923,0.4719170345206126,1.7782379127507695,0.7237004589159965,0.0005239581342333474,26.106511962035547,0.02870213713494382,0.6038634609415888,0.47633822405000975,0.5479669763633037,0.4797841874166884,0.47055972460552953,0.3809521525961408,0.6575791729490564,0.44230563563419156,0.47533225733619233,0.6149536074603351,0.5244681012413035,0.36536691085594386,0.5648080786151218,0.456549092435969,0.575242337519777,5,111.40761049698831,-170.81522099397662
6,2.158824404193866,1.1840186036401226,1.3372774469492628,0.9689642236482339,0.3100676720133081,0.4927697764508385,0.45893943868024206,0.6159545792639252,0.024259572880814956,1.856810328023705e-05,0.0021683907150833225,0.49708462141441023,0.32922751622613355,0.8416179443772775,0.31978343771833895,0.2402376997946598,0.4618877780349172,0.8334239911574377,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4,424.58387056097916,-813.1677411219583
7,2.3689723496970156,1.4525450654541747,2.268315589887799,1.3744929569208855,0.25803009902133,0.548955715870553,0.6596995068582888,3.2485205082730727e-07,0.015897475258164373,274.7036641341129,0.08119900669456408,0.24278510688182708,0.9568896403759383,0.44915631274444745,0.5233478828715863,7.89827154833323e-05,0.8203193123460187,0.4695542240389951,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4,-274.61833836676396,585.2366767335279
8,1.4747066124237993,0.9453415938591773,1.3047308602758363,1.0242364990348636,0.24331692251532488,0.5029839293611632,0.7003829011208378,0.2890960114358058,0.013311817186407383,0.24840117634424766,0.2675446501217836,0.5033848063942029,0.6281987820125577,0.4353072069505456,0.6708716131673323,0.0006036236314369098,0.5188307984376728,0.6673210631143992,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4,-192.37914202606106,420.7582840521221
9,2.508801481316651,1.4843306987579945,1.377655628851346,1.0469743358792685,0.29384959877627476,0.5492084888314891,0.48592948038835193,0.6034115980193004,0.02993687162644874,0.43176245721790096,0.0036058845259182414,0.46754307166678544,0.6507181465556424,0.5432460648790924,0.42854065090193416,0.22872304696299217,0.5803203378558509,0.7657242755396806,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4,590.7694364633275,-1145.538872926655
10,2.6387769464085586,1.512242970409557,1.7384247379585125,1.0356080186497167,0.3454911148943083,0.5049711368359324,0.00027146226078613914,1.1724092064981724,0.02682076803369118,1324.7665479367838,0.055605888627522054,0.5395351680217642,0.4564507821428623,0.46377923025194323,0.4158494102645724,0.267092659756488,0.7723122225593408,0.42225592892129765,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4,450.9114541925661,-865.8229083851322
11,1.3449898117329209,0.5625264228137608,1.7850381488548057,0.9415380586200144,0.39279675342728654,0.5391869403850577,0.07931632154333833,0.31795333043660773,0.04242795292037145,11.473647229592299,0.00016674705393051679,0.3915553697480709,0.8585350430827382,0.5133695028415441,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3,-1132.6899540967222,2293.3799081934444
12,2.925507319064245,1.827548101610975,2.372019116286131,1.1273113286014493,0.39353551025833583,0.5105085483301613,0.12797827907438572,0.22860751578538732,0.024112326543155576,3.953962938633842,0.31915338073729915,0.2606933289825744,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2,499.52667736013626,-975.0533547202725
13,3.2096686956515854,1.8476379501567135,1.6068284407688826,1.0359195925701894,0.308809032687886,0.5304790070747771,0.3611243014210684,1.967956893550656e-05,0.018461958924976176,71.07000927774135,0.24942233050107174,0.08620148218274057,0.9911447106924544,0.32547078631697046,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3,1175.2098983113278,-2322.4197966226557
14,2.300612657429592,1.3562311940198124,1.67365680298497,1.147370651554436,0.30499940271328074,0.49714681480993994,0.682414877244156,0.1416437554008749,0.032727455071947464,19.767313122890872,0.000441222240958585,0.4292473671457048,0.4446509636747701,0.7460629748839328,0.5135392476973435,0.04370449347131014,0.32886033567497724,0.6400587306872296,0.4711342494755157,0.20857450017764834,0.6981883541227552,0.3304888491376521,0.6043084707940668,0.3266344467991709,0.44591036454968747,0.7404654910522678,5,-129.73313850277458,311.46627700554916
15,3.0881998804003343,2.0373206841726397,2.1210597799717297,1.121044554950726,0.2731430518187698,0.5142633308846031,0.6286228996486548,0.00021087903265450367,0.011780893365054525,1264.1434362492755,0.3734305468152012,0.3575579044121837,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2,1040.6294895197716,-2057.258979039543
