id,vSlope,vPower,vBias,a,t0,w,weight_w,weight_v,lapse,bias_strength,d,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,k,max_log_lik,aic
1.0,4.264751505695149,0.7034749223056584,0.8721105560931672,1.2055111094073077,0.007637903898994763,0.42748088393066097,8.042445604585947e-05,2.5932417615143324,6.849491564942699e-10,13.821498769924288,0.9683193307227858,0.5388410991474382,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,862.8941981076609,-1701.7883962153219
2.0,4.452827280161364,0.4519474462038193,-0.12794093963118547,1.1081872849628485,0.21384297330627255,0.539733053218696,9.725504493656861e-06,8.99937010326878,0.02517851828137263,810.1952773014189,0.9957484045469713,0.519311988440279,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1074.41428494072,-2124.82856988144
3.0,6.223215206807501,0.6391164017662554,-0.75134982773496,1.1810579183355738,0.2613801290026174,0.5324479018940156,7.3433687999022085e-06,1.258129370055325,0.04108710407915449,1999.9969423409661,0.9953142299058617,0.48221054179382694,0.2519545550034765,0.634344411483386,0.40314213439598845,0.6670295713634266,0.09983150703497101,0.6407235731270267,0.3423504472815241,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4,805.0995674231546,-1572.199134846309
4.0,4.056558873911707,0.40615310056903137,0.06790557454994328,1.630987791435769,0.1491984941323894,0.4953322886148318,0.6079243633404713,2.968947016630065,0.02024577094088726,58.00286872610243,0.9211783199710081,0.6171582397755137,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,-544.224656981656,1112.449313963312
5.0,6.213245597026208,0.5328610533160357,-0.2861453574067543,0.9366488276006752,0.23577191528291702,0.5607236803609155,0.2545709802527158,29.999684178288547,0.022719937682848836,1051.6510299648344,0.9924695238435582,0.5091858863599648,0.5032228151795046,0.5149463850278444,0.4966644399338698,0.5100489813895697,0.4981402749858953,0.5039888817654614,0.49522754234719657,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4,2779.2794431960656,-5520.558886392131
6.0,2.515898439251456,0.5375574971413968,-0.09885676208165606,1.9153258584872799,0.3879832599373191,0.5198370822952288,11.501791783716827,8.99260104815142,0.026442636091430466,1840.2900128526985,0.9103395327789581,0.5075165233148908,0.4902670547060646,0.5040546806022169,0.49574895905494976,0.5079572564113748,0.4917559352564855,0.5035623622790889,0.4969124791389943,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4,-3082.7617851776877,6203.523570355375
7.0,3.925946361335319,0.3364074036709936,0.27983995734766065,1.1896305958577853,0.31027628415957265,0.4785038032574882,2.8477196244622876e-06,5.1878431346778004,0.02331484730757239,211.6482180976873,0.9926975547789189,0.5189220794467466,0.5336064103795033,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2,1154.3852426865344,-2282.770485373069
9.0,3.775894067375796,0.28168710453543855,-0.16036794339031601,1.2909556731431389,0.4109573212389995,0.5382319872913518,4.890249379502884,0.03136995071132202,0.019150016854998016,1333.6082291876826,0.998226086760259,0.5552446251091907,0.5016570443226864,0.5225469230409461,0.47989498863281455,0.5227115998871908,0.4726290329328475,0.532726157575729,0.44669098409548336,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4,918.9080882352021,-1799.8161764704041
11.0,3.013178940273006,0.2770393238489322,0.008077884490978349,1.3163867693754159,0.32501381698292037,0.5002949162381656,9.106636056499168e-05,14.17613217197138,0.011311672465689935,1999.9953483351408,0.9305918247304863,0.5189782652479638,0.49449570376958846,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2,300.3938836177215,-574.787767235443
12.0,5.046359527551496,0.44323165414901544,-0.03210369698500948,1.4791264621592521,0.4384897510555234,0.5094635081168376,1.3241339557110545e-06,3.7578734448891153,0.017701429797131383,16.90242787322635,0.9951141775554665,0.7275837975446598,0.6286253456560977,0.7549888968574214,0.48830567728801233,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3,853.2870495861974,-1676.5740991723949
