id,vSlope,vPower,vBias,a,t0,w,weight_w,weight_v,lapse,bias_strength,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,k,max_log_lik,aic
1.0,4.291373423578064,0.7040125374575249,1.2723501307310636,1.2039803349199087,0.007687606674292092,0.42745886614696804,1.5312278916970674e-05,0.2764398226424157,3.8290672282668765e-09,0.6694712968375541,0.3140281015831999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,855.9589994687504,-1689.917998937501
2.0,4.447581750825461,0.4515538920086868,-0.2244780180119319,1.10320971438437,0.21400249701536905,0.5406174270552029,1.0000543532446215e-06,1.7021165590159635,0.025167378148172822,0.022348521059819097,0.5154950309779845,0.3965586189824814,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2,1050.0061453494911,-2076.0122906989823
3.0,6.2241199524667765,0.638695673674265,-0.7845725841948203,1.1804022799072065,0.26135751998497875,0.5324210427939183,1.7353320247375531e-06,0.7852234531504195,0.04112271430286129,11.258023329127637,0.6394856055670973,0.14145402815355568,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2,800.2459822065973,-1576.4919644131946
4.0,4.068468762627921,0.4059054774010068,0.0905647981834834,1.6313111704823346,0.1487522369816518,0.49491563970942476,1.642508879902479e-06,0.36639802750785533,0.02033279381085508,168.34013683877794,0.419361393898366,0.24997220507374307,0.7216951796299013,0.00751110996310791,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3,-546.9772906035682,1121.9545812071365
5.0,6.147744932066631,0.5298572956992753,-0.4072915775097865,0.9307502633278075,0.23573236133616138,0.5600624488530066,4.632650869696624e-06,2.4528675488488596,0.022877580656629953,0.0010579736435220068,0.20183184433329932,0.679956693551436,0.5814879695911569,0.6511898394285308,0.29081559296588316,0.18982491346624764,0.4764165445884776,0.6084864741688077,0.5047391816850978,0.3459507941800927,0.9970663958980027,0.06332394179487774,0.6378035089431825,0.2001927494241782,0.4358330593133729,0.7030204210810533,5,2739.780720726011,-5427.561441452022
6.0,2.475855298693982,0.5247838394651757,-0.09263460834646864,1.9163368520687112,0.3866875191452472,0.5174373201544412,0.5325491796026948,0.23438402620527743,0.025753899272707256,2.303278078321003e-05,0.6194160559652028,0.24148392465861468,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2,-3094.494712648829,6212.989425297658
7.0,3.969894297682433,0.32842801110159564,0.6454570392009149,1.1811402786736012,0.31086739572075955,0.4747372514828121,0.18086600761074906,6.331915056934279e-07,0.023350428762235535,0.00045148508740772814,0.008455348233130088,0.5479989600370397,0.3157094756320095,0.2572512331869158,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3,1129.49969062135,-2230.9993812427
9.0,3.694411023540411,0.2733593813573814,-0.18836491901766994,1.32675017341406,0.3991932107306529,0.5391472776254624,0.3155537546364612,4.984402156205031e-06,0.014012244924753893,1.5538633930038908,0.8754482820383522,0.4169928793636373,0.9824466857887412,0.16539891338774806,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3,908.0022772735047,-1788.0045545470093
11.0,3.002060033231999,0.27170793242872693,-0.024290306753606217,1.316289040358099,0.32494828268713405,0.5002908989207606,1.5297104481269094e-06,1.1088653109610973,0.011339537832927944,0.00012788912182823615,0.9907241567470458,0.27336499486137267,0.5321539392170614,0.3565261987182277,0.7397850981981823,0.22624845972708568,0.6509796195086386,0.320781339091202,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4,298.45614875695804,-560.9122975139161
12.0,5.047268130985593,0.4462886779392726,-0.1317862175706157,1.4691306989767408,0.4387909485731818,0.5083733952345613,1.688774327498085e-06,1.3244630117207303,0.017527050853989673,35.873021024435616,0.12274121782290422,0.9326148030885854,0.41561757563782453,0.7914539939375231,0.521589132490403,0.20970057199028902,0.502436345646206,0.7647534510262323,0.5827319429019374,0.25845968762122423,0.9988750948625195,0.13120405776286803,0.44652166770525803,0.2818574427535151,0.5909586521000957,0.8889136504799539,5,828.1085198391922,-1604.2170396783845
