id,vSlope,vPower,vBias,a,t0,w,lapse,sw,sv,max_log_lik
1.0,4.320316209098601,0.7052557256212062,1.302478596903279,1.2048210323896071,0.008741168478661713,0.42868337327935313,1.4428892746577537e-14,0.10934952403228737,4.326820358375098e-06,854.1927558755857
2.0,4.726125926774452,0.445935557941708,-0.22519806753974692,1.1248599902883636,0.2175899155854608,0.5395823680261448,0.0249228703174104,0.24679716638276217,0.5493492993849789,1043.9228946091655
3.0,6.579729365495565,0.6277776301614852,-0.7843943088724459,1.2130786306649808,0.26362873199091663,0.5314893809740319,0.04084342332001202,0.1927205982988986,0.707153224041118,766.9958297446052
4.0,4.4235469224577475,0.38462257824250157,0.07998934649232464,1.718325361427194,0.1520727945445239,0.4963056403393182,0.01878214410344805,0.19103347026836281,0.6784597092693815,-549.37965018723
5.0,6.400306979658842,0.5167090903338885,-0.4216996024880062,0.9137489986697396,0.23849385563476153,0.5584847738733543,0.0226515251021107,0.23007563035806156,2.6578390897502218e-06,2629.4201231796037
6.0,2.6904655745280546,0.4954243540418383,-0.09794201322692302,2.018925493691193,0.3816145244923077,0.5192359639477796,0.018414131552215805,0.12686528085165516,0.6296080377626714,-3141.9538891939246
7.0,4.058136524611396,0.3275153450433305,0.6521149539108495,1.1856209101567197,0.3139812713031979,0.48014314843898187,0.023324250130368436,0.21873619163211389,5.529911393518511e-07,1126.1039400657887
9.0,3.7529995064430492,0.27367311580883985,-0.17551663443953155,1.336110998965287,0.4004648154749235,0.5389271343085967,0.012871816340455224,0.23107116900621377,3.1104840921965083e-06,876.5346369656878
11.0,3.131590162225688,0.2791407785035943,-0.017651585784891677,1.3105507961766114,0.33143595526857317,0.5000271626755076,0.011430233551627223,0.26881708959071193,1.0584198328037786e-06,239.83194363182017
12.0,5.278620525438873,0.43147495884392456,-0.1523913203301178,1.4448860148460523,0.4452899200860159,0.5081635447457526,0.017769866174739076,0.24670995579738442,1.8836946686492245e-06,748.0666674424446
13.0,3.221485843584082,0.29387315971576977,-0.27266080791189884,1.3382292172118833,0.14689820760196595,0.494870251098256,0.013198507326247737,0.26475761063774556,1.0590046557741426e-06,224.0369207672506
14.0,4.434715694202131,0.5891746838746305,-1.0072961081861358,1.2567084634489998,0.0702755595254619,0.5924381365128811,0.011352292212614716,0.12377965980576856,6.424427820583796e-06,664.4390871177221
15.0,4.516928841114425,0.30346897384769844,-0.17745913845340883,1.386111551634632,0.1295034471061354,0.4946128993222,0.027080198249426486,0.25908940500718636,0.35597624453245835,782.9649331848326
16.0,7.258511887544864,0.49846865962761183,-0.10742668231167714,1.3246059251261983,0.14986700931170746,0.5072021810995183,0.035126225509957386,0.3674726240982981,1.3689017588665449,925.4917606969221
18.0,8.612889503338167,0.6381574932477992,0.2649835644545564,1.9385173642874907,0.23296103887744535,0.5179394294104094,0.028036547829560398,0.4800117256015404,1.882540118325554,-930.5320740042011
19.0,4.539914942776732,0.5275528976798022,-0.021790948533910993,1.3309203864517523,0.24906883366263502,0.5075154327714883,0.014910146971664064,0.24556359716545495,0.5766773007534118,44.9659052168104
20.0,6.364583047548924,0.5955690725237879,0.34748703851924306,1.437233928123257,0.20823674635680567,0.47621942166962344,0.012153358057384076,0.1431627343610508,1.2436646745753324,270.0076405639904
21.0,6.373820323944823,0.6856763440506007,-1.2006103147390832,1.279964799109438,0.04690173367391926,0.5255614001034001,0.013484092863201284,0.26807222969810873,0.6636460719989965,1079.3271673614915
23.0,6.3583996345389355,1.1363715717947125,1.3041850299880726,1.5405024255027064,0.2059988567964939,0.4790313610135085,0.017536035969738316,0.24910623640761798,1.5218732228260154e-06,-524.406417713524
24.0,3.704765171859809,0.3074327518628069,-0.15807041012506892,1.5732319956071648,0.026930923437267922,0.51612831658596,0.004453200164438152,0.25513126347373843,6.042541524773073e-07,182.01389165123976
26.0,5.5174449310861915,0.5273855646772316,0.6674366795278875,1.1540574164528565,0.19904998867247387,0.453012612422644,0.024625892984829385,0.22264045442250113,0.30154650462635113,1157.5495363232994
27.0,5.0560317506557055,0.2632282777577797,-0.34760185531671106,1.0360236512563523,0.22146624218050573,0.5191868595436322,0.01624398464335098,0.2938950429360084,4.568962727753914e-06,2642.368062109892
